Scala;Provv;Sconto €/U;;;;
B;8,80%;1,24;;;8,80%;8,80%
B;8,70%;1,26;;;8,70%;8,70%
B;8,60%;1,28;;;8,60%;8,60%
B;8,50%;1,30;;;8,50%;8,50%
B;8,40%;1,32;;;8,40%;8,40%
B;8,30%;1,34;;;8,30%;8,30%
B;8,20%;1,36;;;8,20%;8,20%
B;8,10%;1,38;;;8,10%;8,10%
B;8,00%;1,40;;;8,00%;8,00%
B;7,90%;1,42;;;7,90%;7,90%
B;7,80%;1,44;;;7,80%;7,80%
B;7,70%;1,46;;;7,70%;7,70%
B;7,60%;1,48;;;7,60%;7,60%
B;7,50%;1,50;;;7,50%;7,50%
B;7,40%;1,52;;;7,40%;7,40%
B;7,30%;1,54;;;7,30%;7,30%
B;7,20%;1,56;;;7,20%;7,20%
B;7,10%;1,58;;;7,10%;7,10%
B;7,00%;1,60;;;7,00%;7,00%
B;6,90%;1,62;;;6,90%;6,90%
B;6,80%;1,64;;;6,80%;6,80%
B;6,70%;1,66;;;6,70%;6,70%
B;6,60%;1,68;;;6,60%;6,60%
B;6,50%;1,70;;;6,50%;6,50%
B;6,40%;1,72;;;6,40%;6,40%
B;6,30%;1,74;;;6,30%;6,30%
B;6,20%;1,76;;;6,20%;6,20%
B;6,10%;1,78;;;6,10%;6,10%
B;6,00%;1,80;;;6,00%;6,00%
B;5,90%;1,82;;;5,90%;5,90%
B;5,80%;1,84;;;5,80%;5,80%
B;5,70%;1,86;;;5,70%;5,70%
B;5,60%;1,88;;;5,60%;5,60%
B;5,50%;1,90;;;5,50%;5,50%
B;5,40%;1,92;;;5,40%;5,40%
B;5,30%;1,94;;;5,30%;5,30%
B;5,20%;1,96;;;5,20%;5,20%
B;5,10%;1,98;;;5,10%;5,10%
B;5,00%;2,00;;;5,00%;5,00%
B;4,90%;2,01;;;4,90%;4,90%
B;4,80%;2,02;;;4,80%;4,80%
B;4,70%;2,03;;;4,70%;4,70%
B;4,60%;2,04;;;4,60%;4,60%
B;4,50%;2,05;;;4,50%;4,50%
B;4,40%;2,06;;;4,40%;4,40%
B;4,30%;2,07;;;4,30%;4,30%
B;4,20%;2,08;;;4,20%;4,20%
B;4,10%;2,09;;;4,10%;4,10%
B;4,00%;2,10;;;4,00%;4,00%
B;3,80%;2,13;;;3,80%;3,80%
B;3,60%;2,14;;;3,60%;3,60%
B;3,40%;2,19;;;3,40%;3,40%
B;3,20%;2,22;;;3,20%;3,20%
B;3,00%;2,40;;;3,00%;3,00%
B;2,90%;2,41;;;2,90%;2,90%
B;2,80%;2,42;;;2,80%;2,80%
B;2,70%;2,43;;;2,70%;2,70%
B;2,60%;2,44;;;2,60%;2,60%
B;2,50%;2,45;;;2,50%;2,50%
B;2,00%;2,50;;;2,00%;2,00%
C;27,0%;0,00;;;;
C;26,5%;0,01;;;;
C;26,0%;0,02;;;;
C;25,5%;0,03;;;;
C;25,0%;0,04;;;;
C;24,5%;0,05;;;;
C;24,0%;0,06;;;;
C;23,5%;0,07;;;;
C;23,0%;0,08;;;;
C;22,5%;0,09;;;;
C;22,0%;0,10;;;;
C;21,6%;0,11;;;;
C;21,2%;0,12;;;;
C;20,8%;0,13;;;;
C;20,4%;0,14;;;;
C;20,0%;0,15;;;;
C;19,6%;0,16;;;;
C;19,2%;0,17;;;;
C;18,8%;0,18;;;;
C;18,4%;0,19;;;;
C;18,0%;0,20;;;;
C;17,6%;0,21;;;;
C;17,2%;0,22;;;;
C;16,8%;0,23;;;;
C;16,4%;0,24;;;;
C;16,0%;0,25;;;;
C;15,6%;0,26;;;;
C;15,2%;0,27;;;;
C;14,8%;0,28;;;;
C;14,4%;0,29;;;;
C;14,0%;0,30;;;;
C;13,6%;0,31;;;;
C;13,2%;0,32;;;;
C;12,8%;0,33;;;;
C;12,4%;0,34;;;;
C;12,0%;0,35;;;;
C;11,6%;0,36;;;;
C;11,2%;0,37;;;;
C;10,8%;0,38;;;;
C;10,4%;0,39;;;;
C;10,0%;0,40;;;;
C;9,9%;0,42;;;;
C;9,8%;0,44;;;;
C;9,7%;0,46;;;;
C;9,6%;0,48;;;;
C;9,5%;0,50;;;;
C;9,4%;0,52;;;;
C;9,3%;0,54;;;;
C;9,2%;0,56;;;;
C;9,1%;0,58;;;;
C;9,0%;0,60;;;;
C;8,9%;0,62;;;;
C;8,8%;0,64;;;;
C;8,7%;0,66;;;;
C;8,6%;0,68;;;;
C;8,5%;0,70;;;;
C;8,4%;0,72;;;;
C;8,3%;0,74;;;;
C;8,2%;0,76;;;;
C;8,1%;0,78;;;;
C;8,0%;0,80;;;;
C;7,9%;0,82;;;;
C;7,8%;0,84;;;;
C;7,7%;0,86;;;;
C;7,6%;0,88;;;;
C;7,5%;0,90;;;;
C;7,4%;0,92;;;;
C;7,3%;0,94;;;;
C;7,2%;0,96;;;;
C;7,1%;0,98;;;;
C;7,0%;1,00;;;;
C;6,9%;1,02;;;;
C;6,8%;1,04;;;;
C;6,7%;1,06;;;;
C;6,6%;1,08;;;;
C;6,5%;1,10;;;;
C;6,4%;1,12;;;;
C;6,3%;1,14;;;;
C;6,2%;1,16;;;;
C;6,1%;1,18;;;;
C;6,0%;1,20;;;;
C;5,9%;1,22;;;;
C;5,8%;1,24;;;;
C;5,7%;1,26;;;;
C;5,6%;1,28;;;;
C;5,5%;1,30;;;;
C;5,4%;1,32;;;;
C;5,3%;1,34;;;;
C;5,2%;1,36;;;;
C;5,1%;1,38;;;;
C;5,0%;1,40;;;;
C;4,9%;1,41;;;;
C;4,8%;1,42;;;;
C;4,7%;1,43;;;;
C;4,6%;1,44;;;;
C;4,5%;1,45;;;;
C;4,4%;1,46;;;;
C;4,3%;1,47;;;;
C;4,2%;1,48;;;;
C;4,1%;1,49;;;;
C;4,0%;1,50;;;;
C;3,95%;1,51;;;;
C;3,90%;1,52;;;;
C;3,85%;1,53;;;;
C;3,80%;1,54;;;;
C;3,75%;1,55;;;;
C;3,70%;1,56;;;;
C;3,65%;1,57;;;;
C;3,60%;1,58;;;;
C;3,55%;1,59;;;;
C;3,5%;1,60;;;;
C;3,4%;1,63;;;;
C;3,3%;1,68;;;;
C;3,2%;1,69;;;;
C;3,1%;1,72;;;;
C;3,0%;1,73;;;;
C;3,0%;1,80;;;;
C;2,9%;1,81;;;;
C;2,8%;1,82;;;;
C;2,7%;1,83;;;;
C;2,6%;1,84;;;;
C;2,5%;1,85;;;;
C;2,0%;1,99;;;;
E;27,0%;0,00;;;;
E;26,8%;0,01;;;;
E;26,6%;0,02;;;;
E;26,4%;0,03;;;;
E;26,2%;0,04;;;;
E;26,0%;0,05;;;;
E;25,8%;0,06;;;;
E;25,6%;0,07;;;;
E;25,4%;0,08;;;;
E;25,2%;0,09;;;;
E;25,0%;0,10;;;;
E;24,8%;0,11;;;;
E;24,6%;0,12;;;;
E;24,4%;0,13;;;;
E;24,2%;0,14;;;;
E;24,0%;0,15;;;;
E;23,8%;0,16;;;;
E;23,6%;0,17;;;;
E;23,4%;0,18;;;;
E;23,2%;0,19;;;;
E;23,0%;0,20;;;;
E;22,9%;0,21;;;;
E;22,8%;0,22;;;;
E;22,7%;0,23;;;;
E;22,6%;0,24;;;;
E;22,5%;0,25;;;;
E;22,4%;0,26;;;;
E;22,3%;0,27;;;;
E;22,2%;0,28;;;;
E;22,1%;0,29;;;;
E;22,0%;0,30;;;;
E;21,9%;0,31;;;;
E;21,8%;0,32;;;;
E;21,7%;0,33;;;;
E;21,6%;0,34;;;;
E;21,5%;0,35;;;;
E;21,4%;0,36;;;;
E;21,3%;0,37;;;;
E;21,2%;0,38;;;;
E;21,1%;0,39;;;;
E;21,0%;0,40;;;;
E;20,9%;0,41;;;;
E;20,8%;0,42;;;;
